Name,Position,Team,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Cluster
Willi Orban,Center Back,RB Leipzig,84,57,40,56,56,86,83,0
Robin Le Normand,Center Back,Atlético de Madrid,83,65,28,59,63,84,80,0
Raíllo,Center Back,RCD Mallorca,81,41,36,59,62,83,84,0
James Tarkowski,Center Back,Everton,80,45,47,64,59,81,82,0
Chris Smalling,Center Back,Al Fayha,80,45,47,57,59,83,77,0
Sebastián Coates,Center Back,Nacional,79,60,49,54,61,81,84,0
Berat Djimsiti,Center Back,Bergamo Calcio,79,64,39,60,53,81,79,0
Catena,Center Back,CA Osasuna,79,64,39,63,53,79,78,0
Nathan Collins,Center Back,Brentford,79,62,31,58,63,80,81,0
Dan Burn,Center Back,Newcastle Utd,79,42,36,67,64,79,85,0
Nathaniel Brown,Left Back,Frankfurt,77,83,53,71,77,71,51,1
Bryan Zaragoza,Left Midfielder,Celta,77,82,72,72,82,30,44,1
Gustav Isaksen,Right Midfielder,Latium,76,88,72,67,78,40,48,1
Marcus Edwards,Right Midfielder,Burnley,76,84,69,70,81,30,48,1
Rodrigo Mora,Attacking Midfielder,FC Porto,76,77,66,74,79,40,41,1
Raúl Moro,Left Winger,Ajax,76,83,65,71,81,27,49,1
Yeremay,Left Midfielder,RC Deportivo,76,83,70,70,79,22,49,1
Tommaso Baldanzi,Attacking Midfielder,AS Roma,75,76,71,73,78,41,48,1
Riccardo Sottil,Left Midfielder,Lecce,75,88,66,69,77,34,49,1
Wilson Odobert,Left Winger,Spurs,75,86,70,68,78,30,49,1
Mohamed Salah,Right Midfielder,Liverpool,91,89,88,86,90,45,76,2
Kylian Mbappé,Striker,Real Madrid,91,97,90,81,92,37,76,2
Ousmane Dembélé,Striker,Paris SG,90,91,88,83,93,50,69,2
Erling Haaland,Striker,Manchester City,90,86,91,70,80,45,88,2
Raphinha,Left Midfielder,FC Barcelona,89,91,84,85,87,53,75,2
Lamine Yamal,Right Midfielder,FC Barcelona,89,85,81,86,90,23,53,2
Harry Kane,Striker,FC Bayern München,89,64,92,83,82,48,82,2
Vini Jr.,Left Winger,Real Madrid,89,95,84,81,91,29,69,2
Florian Wirtz,Attacking Midfielder,Liverpool,89,80,82,88,90,54,67,2
Bukayo Saka,Right Winger,Arsenal,88,84,82,85,88,60,73,2
Gabriel,Center Back,Arsenal,88,64,44,64,65,88,84,3
Jonathan Tah,Center Back,FC Bayern München,87,63,38,60,63,87,86,3
Willian Pacho,Center Back,Paris SG,86,80,34,62,62,86,86,3
Ibrahima Konaté,Center Back,Liverpool,86,77,34,63,69,86,85,3
Bremer,Center Back,Juventus,85,82,50,58,66,86,80,3
Ronald Araujo,Center Back,FC Barcelona,83,80,53,63,61,81,83,3
José María Giménez,Center Back,Atlético de Madrid,83,73,46,60,62,85,82,3
Gianluca Mancini,Center Back,AS Roma,83,70,50,57,64,85,82,3
Amir Rrahmani,Center Back,SSC Napoli,83,69,51,60,63,84,78,3
Nikola Milenković,Center Back,Nott'm Forest,83,57,46,63,62,84,86,3
Rodri,Defensive Midfielder,Manchester City,90,65,80,86,84,86,85,4
Jude Bellingham,Attacking Midfielder,Real Madrid,90,80,86,83,90,78,85,4
Virgil van Dijk,Center Back,Liverpool,90,73,60,72,72,90,87,4
Achraf Hakimi,Right Back,Paris SG,89,92,79,82,83,82,79,4
Vitinha,Central Midfielder,Paris SG,89,72,80,86,90,75,70,4
Pedri,Central Midfielder,FC Barcelona,89,77,73,85,91,78,77,4
Joshua Kimmich,Defensive Midfielder,FC Bayern München,89,72,74,89,84,83,79,4
Federico Valverde,Central Midfielder,Real Madrid,89,88,84,84,84,83,85,4
Jules Koundé,Right Back,FC Barcelona,87,84,47,74,79,86,84,4
Nicolò Barella,Central Midfielder,Lombardia FC,87,80,78,84,86,81,76,4
Ante Budimir,Striker,CA Osasuna,82,59,84,63,76,35,80,5
Toluwalase Arokodare,Striker,Wolves,79,75,80,57,70,31,81,5
Vedat Muriqi,Striker,RCD Mallorca,79,50,81,63,71,29,82,5
Samu,Striker,FC Porto,79,79,79,58,68,36,83,5
Adrián Martínez,Striker,Racing Club,78,69,78,59,72,42,84,5
Jørgen Strand Larsen,Striker,Wolves,78,75,79,62,70,32,83,5
Brian Brobbey,Striker,Sunderland,77,84,73,56,72,30,80,5
Andrea Belotti,Striker,Cagliari,77,68,76,58,74,38,80,5
Kodjo Fo-Doh Laba,Striker,Al Ain FC,77,76,77,64,69,25,82,5
Kévin Denkey,Striker,FC Cincinnati,77,75,78,54,73,29,83,5
