Name,Position,Team,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Cluster
Mohamed Salah,Right Midfielder,Liverpool,91,89,88,86,90,45,76,0
Kylian Mbappé,Striker,Real Madrid,91,97,90,81,92,37,76,0
Ousmane Dembélé,Striker,Paris SG,90,91,88,83,93,50,69,0
Rodri,Defensive Midfielder,Manchester City,90,65,80,86,84,86,85,0
Virgil van Dijk,Center Back,Liverpool,90,73,60,72,72,90,87,0
Jude Bellingham,Attacking Midfielder,Real Madrid,90,80,86,83,90,78,85,0
Erling Haaland,Striker,Manchester City,90,86,91,70,80,45,88,0
Joshua Kimmich,Defensive Midfielder,FC Bayern München,89,72,74,89,84,83,79,0
Florian Wirtz,Attacking Midfielder,Liverpool,89,80,82,88,90,54,67,0
Federico Valverde,Central Midfielder,Real Madrid,89,88,84,84,84,83,85,0
Samu,Striker,FC Porto,79,79,79,58,68,36,83,1
Toluwalase Arokodare,Striker,Wolves,79,75,80,57,70,31,81,1
Marcos Leonardo,Striker,Al Hilal,79,78,78,63,75,27,67,1
Francisco Conceição,Right Midfielder,Juventus,79,87,68,73,85,36,50,1
Arnaud Kalimuendo,Striker,Nott'm Forest,78,80,80,63,78,29,71,1
Bryan Gil,Left Midfielder,Girona FC,78,84,70,75,81,31,45,1
Gabriel Strefezza,Right Midfielder,Olympiacos FC,78,87,68,73,79,31,49,1
Carlos Vicente,Right Midfielder,D. Alavés,78,79,72,74,76,31,58,1
Mika Biereth,Striker,AS Monaco,78,75,78,63,72,31,76,1
Malick Fofana,Left Midfielder,OL,78,86,69,70,82,40,48,1
Gabriel,Center Back,Arsenal,88,64,44,64,65,88,84,2
Jonathan Tah,Center Back,FC Bayern München,87,63,38,60,63,87,86,2
William Saliba,Center Back,Arsenal,87,77,39,68,72,87,83,2
Rúben Dias,Center Back,Manchester City,86,59,39,69,69,86,84,2
Willian Pacho,Center Back,Paris SG,86,80,34,62,62,86,86,2
Ibrahima Konaté,Center Back,Liverpool,86,77,34,63,69,86,85,2
Dayot Upamecano,Center Back,FC Bayern München,85,77,45,64,73,84,84,2
Bremer,Center Back,Juventus,85,82,50,58,66,86,80,2
Vivian,Center Back,Athletic Club,84,79,50,63,72,84,83,2
Francesco Acerbi,Center Back,Lombardia FC,84,57,50,65,65,87,81,2
Willi Orban,Center Back,RB Leipzig,84,57,40,56,56,86,83,3
Robin Le Normand,Center Back,Atlético de Madrid,83,65,28,59,63,84,80,3
Ibañez,Center Back,Al Ahli,82,87,32,47,61,83,85,3
Raíllo,Center Back,RCD Mallorca,81,41,36,59,62,83,84,3
James Tarkowski,Center Back,Everton,80,45,47,64,59,81,82,3
Chris Smalling,Center Back,Al Fayha,80,45,47,57,59,83,77,3
Sebastián Coates,Center Back,Nacional,79,60,49,54,61,81,84,3
Berat Djimsiti,Center Back,Bergamo Calcio,79,64,39,60,53,81,79,3
Catena,Center Back,CA Osasuna,79,64,39,63,53,79,78,3
Nathan Collins,Center Back,Brentford,79,62,31,58,63,80,81,3
