Name,Position,Team,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Cluster
Lamine Yamal,Right Midfielder,FC Barcelona,89,85,81,86,90,23,53,0
Moussa Diaby,Right Midfielder,Al Ittihad,84,95,75,77,87,44,54,0
Kingsley Coman,Left Midfielder,Al Nassr,83,87,75,79,87,30,61,0
Leandro Trossard,Left Winger,Arsenal,83,80,81,80,85,30,60,0
Rafa,Attacking Midfielder,Beşiktaş,82,89,75,78,85,48,55,0
Dodi Lukébakio,Right Midfielder,SL Benfica,82,87,81,76,83,31,64,0
Brahim,Right Midfielder,Real Madrid,82,82,74,79,85,31,58,0
Savinho,Right Winger,Manchester City,82,87,71,78,86,30,53,0
Randal Kolo Muani,Striker,Spurs,81,90,79,71,80,38,65,0
Pierre-Emerick Aubameyang,Striker,OM,81,82,83,72,78,36,63,0
Mohamed Salah,Right Midfielder,Liverpool,91,89,88,86,90,45,76,1
Kylian Mbappé,Striker,Real Madrid,91,97,90,81,92,37,76,1
Ousmane Dembélé,Striker,Paris SG,90,91,88,83,93,50,69,1
Rodri,Defensive Midfielder,Manchester City,90,65,80,86,84,86,85,1
Virgil van Dijk,Center Back,Liverpool,90,73,60,72,72,90,87,1
Jude Bellingham,Attacking Midfielder,Real Madrid,90,80,86,83,90,78,85,1
Erling Haaland,Striker,Manchester City,90,86,91,70,80,45,88,1
Joshua Kimmich,Defensive Midfielder,FC Bayern München,89,72,74,89,84,83,79,1
Florian Wirtz,Attacking Midfielder,Liverpool,89,80,82,88,90,54,67,1
Federico Valverde,Central Midfielder,Real Madrid,89,88,84,84,84,83,85,1
Gabriel,Center Back,Arsenal,88,64,44,64,65,88,84,2
Jonathan Tah,Center Back,FC Bayern München,87,63,38,60,63,87,86,2
William Saliba,Center Back,Arsenal,87,77,39,68,72,87,83,2
Rúben Dias,Center Back,Manchester City,86,59,39,69,69,86,84,2
Willian Pacho,Center Back,Paris SG,86,80,34,62,62,86,86,2
Ibrahima Konaté,Center Back,Liverpool,86,77,34,63,69,86,85,2
Dayot Upamecano,Center Back,FC Bayern München,85,77,45,64,73,84,84,2
Bremer,Center Back,Juventus,85,82,50,58,66,86,80,2
Vivian,Center Back,Athletic Club,84,79,50,63,72,84,83,2
Francesco Acerbi,Center Back,Lombardia FC,84,57,50,65,65,87,81,2
Moise Kean,Striker,Fiorentina,83,86,82,58,81,40,74,3
Ante Budimir,Striker,CA Osasuna,82,59,84,63,76,35,80,3
Youssef En-Nesyri,Striker,Fenerbahçe,82,79,81,65,75,35,80,3
Simon Banza,Striker,SC Braga,81,79,81,62,77,36,79,3
Jhon Durán,Striker,Fenerbahçe,79,81,81,63,75,32,80,3
Fábio Silva,Striker,Borussia Dortmund,79,81,77,64,79,32,79,3
Samu,Striker,FC Porto,79,79,79,58,68,36,83,3
Toluwalase Arokodare,Striker,Wolves,79,75,80,57,70,31,81,3
Marcos Leonardo,Striker,Al Hilal,79,78,78,63,75,27,67,3
Vedat Muriqi,Striker,RCD Mallorca,79,50,81,63,71,29,82,3
Willi Orban,Center Back,RB Leipzig,84,57,40,56,56,86,83,4
Robin Le Normand,Center Back,Atlético de Madrid,83,65,28,59,63,84,80,4
Ibañez,Center Back,Al Ahli,82,87,32,47,61,83,85,4
Raíllo,Center Back,RCD Mallorca,81,41,36,59,62,83,84,4
James Tarkowski,Center Back,Everton,80,45,47,64,59,81,82,4
Chris Smalling,Center Back,Al Fayha,80,45,47,57,59,83,77,4
Sebastián Coates,Center Back,Nacional,79,60,49,54,61,81,84,4
Berat Djimsiti,Center Back,Bergamo Calcio,79,64,39,60,53,81,79,4
Catena,Center Back,CA Osasuna,79,64,39,63,53,79,78,4
Nathan Collins,Center Back,Brentford,79,62,31,58,63,80,81,4
