Name,Position,Team,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Cluster
Gabriel,Center Back,Arsenal,88,64,44,64,65,88,84,0
Jonathan Tah,Center Back,FC Bayern München,87,63,38,60,63,87,86,0
William Saliba,Center Back,Arsenal,87,77,39,68,72,87,83,0
Rúben Dias,Center Back,Manchester City,86,59,39,69,69,86,84,0
Willian Pacho,Center Back,Paris SG,86,80,34,62,62,86,86,0
Ibrahima Konaté,Center Back,Liverpool,86,77,34,63,69,86,85,0
Dayot Upamecano,Center Back,FC Bayern München,85,77,45,64,73,84,84,0
Bremer,Center Back,Juventus,85,82,50,58,66,86,80,0
Francesco Acerbi,Center Back,Lombardia FC,84,57,50,65,65,87,81,0
Stefan de Vrij,Center Back,Lombardia FC,84,62,41,68,69,86,74,0
Mohamed Salah,Right Midfielder,Liverpool,91,89,88,86,90,45,76,1
Kylian Mbappé,Striker,Real Madrid,91,97,90,81,92,37,76,1
Ousmane Dembélé,Striker,Paris SG,90,91,88,83,93,50,69,1
Rodri,Defensive Midfielder,Manchester City,90,65,80,86,84,86,85,1
Virgil van Dijk,Center Back,Liverpool,90,73,60,72,72,90,87,1
Jude Bellingham,Attacking Midfielder,Real Madrid,90,80,86,83,90,78,85,1
Erling Haaland,Striker,Manchester City,90,86,91,70,80,45,88,1
Joshua Kimmich,Defensive Midfielder,FC Bayern München,89,72,74,89,84,83,79,1
Florian Wirtz,Attacking Midfielder,Liverpool,89,80,82,88,90,54,67,1
Federico Valverde,Central Midfielder,Real Madrid,89,88,84,84,84,83,85,1
